interval_index,point_transient_excess_e_s,ci95_low_e_s,ci95_high_e_s,probability_above_threshold
0,0.32566478407839733,0.30777723676281354,0.36724343456182834,1.0
1,0.3360533116711956,0.30831412480210907,0.36755122352327635,1.0
2,0.2708985768761834,0.2650800489084027,0.2839518881431176,1.0
3,0.1789723598188499,0.17504232429425423,0.18402632351810339,1.0
4,0.11622677839142864,0.11247632150198306,0.12044623977561113,1.0
5,0.09400628201422573,0.09254376409692941,0.09583189061050401,1.0
6,0.07772466518771154,0.07643355599514857,0.07924596902653183,1.0
7,0.04329334351771913,0.042012720665570526,0.04477449549513946,0.0
8,0.030688235945524223,0.02901198238917915,0.03197885874106364,0.0
9,0.012632197265047773,0.011125717678806027,0.014198923993666108,0.0
10,0.007710361372620322,0.006403807484952742,0.009429916316844292,0.0
11,0.006399286762114376,0.00571537132819967,0.007679669260351066,0.0
12,-0.012663638219659157,-0.014837153794268265,-0.010632002969887524,0.0
13,-0.006399286762114376,-0.007344437894488578,-0.005715371328199671,0.0
