interval_index,mid_time_s,interval_duration_s,full_median_e_s,left_median_e_s,right_median_e_s,left_right_asymmetry,good_pixel_fraction,datareject_fraction,full_rate_robust_z,asymmetry_robust_z,anomaly
0,52.932446500000005,100.000311,0.8919069443331694,0.8918810213844393,0.8919395362135804,-6.560618319130821e-05,0.9639437042034444,0.0017709563164108619,2.2023833878696872,-0.9339272308655633,False
1,152.932762,100.00031999999999,0.8881538750637037,0.8897495840876504,0.8864840602330655,0.0036769080070361217,0.9639425329360394,0.0026763460205018645,1.8479278194433726,-0.1054582808207868,False
2,252.93307499999997,100.000306,0.8891912792862091,0.8917206586693057,0.8867395058574461,0.005601646762985112,0.9639425329360394,0.0034458687056089653,1.9459046157598354,0.3206152663190965,False
3,352.9333805,100.00030500000003,0.8953004056130127,0.896103604830584,0.8945307882757699,0.0017567143364041252,0.9639413616686344,0.004230617866981503,2.5228760727944124,-0.5305256962884732,False
4,452.9336855,100.00030499999997,0.8910671219159219,0.8930613967538679,0.8889363396777679,0.004629699568934616,0.9639401904012294,0.005035278574239613,2.1230670441228474,0.1054582808207869,False
5,552.9339904999999,100.00030499999997,0.8782351929168437,0.882390534197004,0.8741523032562899,0.009380051274648322,0.9639425329360394,0.005685331984033283,0.9111659677481382,1.1570291473395022,False
6,652.9342955,100.00030500000003,0.8644368047873128,0.8706005800657564,0.8585640380140079,0.013921800071429858,0.9639413616686344,0.006281507093195405,-0.39201155354393635,2.1624222242347084,False
7,752.9346005,100.00030500000003,0.8597231465510149,0.8632490536453733,0.8563152970903603,0.008064550247330226,0.9639390191338243,0.006953814583684713,-0.8371891640686129,0.8658206977547545,False
8,852.934906,100.00030600000002,0.8631685339950682,0.8646097513875654,0.8617584304479554,0.003303259373766186,0.9639390191338243,0.007583956447592811,-0.5117923548845775,-0.18817173898191608,False
9,952.9352115,100.00030500000003,0.8664150015814381,0.8666091953946982,0.8662140919647324,0.00045602276106043943,0.9639401904012294,0.008485832349468713,-0.20518236954098898,-0.8184558226647171,False
10,1052.9355165,100.00030499999991,0.8677892911280503,0.869235316322414,0.8663825605532504,0.003287308580041811,0.9639390191338243,0.0090738085867956,-0.07538871334873706,-0.19170271753203638,False
11,1152.935852,100.00036599999999,0.8658211664920877,0.8681816254610402,0.8634511454084797,0.005463606524592551,0.9639378478664193,0.00964655834785705,-0.2612666405827416,0.2900577198270508,False
12,1252.9362179999998,100.00036599999999,0.8693857623844612,0.8772984425108152,0.8613559988284867,0.018338829503173663,0.9639355053316092,0.010164258540881918,0.07538871334873706,3.1402065557381484,False
13,1352.9365845,100.0003670000001,0.8646951120357811,0.8622109632068304,0.8671495600300068,-0.005711471676169374,0.9639331627967992,0.010676102396881618,-0.3676159359811655,-2.183735252776451,False
