interval_index,mid_time_s,interval_duration_s,full_median_e_s,left_median_e_s,right_median_e_s,left_right_asymmetry,good_pixel_fraction,datareject_fraction,full_rate_robust_z,asymmetry_robust_z,anomaly
0,52.932446500000005,100.000311,0.8887532626584265,0.8882254036473608,0.8892297856912519,-0.001130134869126925,0.9425036543543037,0.0017709563164108619,2.2341554667757735,-0.9233125500153727,False
1,152.932762,100.00031999999999,0.8848603539276236,0.8859625897415737,0.8838541194226993,0.0023826990760755593,0.9425024830868987,0.0026763460205018645,1.8617169223374124,-0.13824406358215713,False
2,252.93307499999997,100.000306,0.8861005253582462,0.8880817362701559,0.8840442391126234,0.004556670590712754,0.9425024830868987,0.0034458687056089653,1.9803653866130873,0.34760768835619715,False
3,352.9333805,100.00030500000003,0.8921516202219794,0.892348971112439,0.8919155805173608,0.00048579185713511615,0.9425013118194936,0.004230617866981503,2.559279797186087,-0.5621758811710965,False
4,452.9336855,100.00030499999997,0.8879371749752438,0.8895577236799402,0.8863434659072887,0.0036198610502632565,0.9425001405520886,0.005035278574239613,2.1560795266815047,0.13824406358215713,False
5,552.9339904999999,100.00030499999997,0.8750718749244241,0.878659311394891,0.8715721103578477,0.008098587362745376,0.9425024830868987,0.005685331984033283,0.9252431634303356,1.1391757734601433,False
6,652.9342955,100.00030500000003,0.8613254751878294,0.866949105754926,0.8559250286435811,0.012797309903539349,0.9425013118194936,0.006281507093195405,-0.3898889044384493,2.1892735152872564,False
7,752.9346005,100.00030500000003,0.8566950058181512,0.8595071969289947,0.8539198082807751,0.0065218869916615655,0.9425001405520886,0.006953814583684713,-0.8328906266375026,0.786805637782094,False
8,852.934906,100.00030600000002,0.8600063506563101,0.860955237724894,0.8589886390597476,0.002286817252226668,0.9425013118194936,0.007583956447592811,-0.5160908923156877,-0.1596722891970649,False
9,952.9352115,100.00030500000003,0.8632121696468191,0.8629663799313178,0.863475262410285,-0.0005895159923008951,0.9425024830868987,0.008485832349468713,-0.2093869233500993,-0.8024919106149037,False
10,1052.9355165,100.00030499999991,0.8645486839755472,0.8654419120326166,0.8637051881207699,0.0020087636404012023,0.9425024830868987,0.0090738085867956,-0.08152123585687227,-0.2218133216478671,False
11,1152.935852,100.00036599999999,0.8627391928917927,0.864612193064843,0.8607688098569327,0.0044551124666400215,0.9425036543543037,0.00964655834785705,-0.2546370913803423,0.324910890273935,False
12,1252.9362179999998,100.00036599999999,0.8662528831544566,0.873893760078709,0.858800235685578,0.017422031160757082,0.9425036543543037,0.010164258540881918,0.08152123585686165,3.222833021434127,False
13,1352.9365845,100.0003670000001,0.8614943082913625,0.8585163498674293,0.8644922772975862,-0.006936619278557474,0.9425024830868987,0.010676102396881618,-0.37373646941336375,-2.2209793335635335,False
