interval_index,mid_time_s,interval_duration_s,full_median_e_s,left_median_e_s,right_median_e_s,left_right_asymmetry,good_pixel_fraction,datareject_fraction,full_rate_robust_z,asymmetry_robust_z,anomaly
0,52.932446500000005,100.000311,1.3979625930642705,2.0507799049968467,1.1806672160671055,0.5385281926836898,0.9423912126834205,0.304873877925826,5.313464775363803,38.8184126309675,True
1,152.932762,100.00031999999999,1.3995273143982097,1.9761063222851596,1.181377942228921,0.5033934065723953,0.9423912126834205,0.3428241131163209,5.331694543964466,36.23575357387561,True
2,252.93307499999997,100.000306,1.2763741353820626,1.4363968195211623,1.1488588064346428,0.22244455070489416,0.9423912126834205,0.34358777946440283,3.8968997934841956,15.58399537368681,True
3,352.9333805,100.00030500000003,1.1296460221036426,1.189716567190849,1.072647634546639,0.10349256106006406,0.9423912126834205,0.3441956672476153,2.187445532038385,6.840170025150986,True
4,452.9336855,100.00030499999997,1.0333012123377632,1.0613747302877838,1.005894309219248,0.053675085350057626,0.9423900414160155,0.3447028260339949,1.0649813911007031,3.1782278566018642,False
5,552.9339904999999,100.00030499999997,0.9918738662438116,1.001058942700047,0.982773821432499,0.01843413577811663,0.9423900414160155,0.34517953186784356,0.5823325534759941,0.5877650228681472,False
6,652.9342955,100.00030500000003,0.9613388102265726,0.9618632767723015,0.9607946521257389,0.0011116118270452096,0.9423912126834205,0.34566443657352747,0.2265842209590469,-0.6855648682605816,False
7,752.9346005,100.00030500000003,0.9224418640025038,0.9255916363921464,0.9192825374439125,0.006839598101278948,0.9423912126834205,0.34610249058301007,-0.2265842209590456,-0.26451674850862256,False
8,852.934906,100.00030600000002,0.9120876955235966,0.9127450458072898,0.9114563217081353,0.0014129186855174134,0.9423912126834205,0.3465733400798336,-0.3472153463413352,-0.6634166506926088,False
9,952.9352115,100.00030500000003,0.8971163344234125,0.8993990533545217,0.89475809012956,0.005173418885649517,0.9423912126834205,0.3468731845355222,-0.5216390233076615,-0.386992884505372,False
10,1052.9355165,100.00030499999991,0.8947460531572513,0.8974989773494548,0.8919885403882302,0.0061586760528970835,0.9423912126834205,0.34723627743108265,-0.5492539589919768,-0.31456940828165764,False
11,1152.935852,100.00036599999999,0.8914751533225406,0.893701070611228,0.8892916992266161,0.004946033948318212,0.9423900414160155,0.34768604411461557,-0.5873615413514579,-0.4037073100887452,False
12,1252.9362179999998,100.00036599999999,0.8765179753795488,0.8765137563907464,0.8765187600070434,-5.7085265107962875e-06,0.9423900414160155,0.3480608496842263,-0.7616199776017324,-0.7676959369297859,False
13,1352.9365845,100.0003670000001,0.875847816056617,0.882100543165023,0.869805117676602,0.014036629669333004,0.9423900414160155,0.3485071025655441,-0.7694276613839097,0.2645167485086224,False
